vocabulary_item_id,question_text,options,answer_index,explanation
d0e1f2a3-b4c5-6789-0123-ef1234567890,「手を拱く」の意味として最も適切なものはどれですか？,"[""何もしないで傍観していること"",""積極的に手伝うこと"",""準備を周到に行うこと"",""失敗を恐れて何もしないこと""]",0,"「手を拱く」は、腕を組んで何もしないでいる、つまり傍観している状態を指します。"
e1f2a3b4-c5d6-7890-1234-f12345678901,「画竜点睛」が使われる状況として最も適切なものはどれですか？,"[""最後の仕上げによって全体が完璧になる時"",""最初からやり直す時"",""途中で諦めてしまう時"",""見当違いの努力をする時""]",0,"「画竜点睛」は、物事の最後の重要な仕上げを意味します。これを加えることで全体が引き締まります。"
f2a3b4c5-d6e7-8901-2345-123456789012,「破竹の勢い」の意味として最も適切なものはどれですか？,"[""止められないほどの激しい勢い"",""静かで穏やかな様子"",""少しずつ着実に進む様子"",""勢いが衰えていく様子""]",0,"「破竹の勢い」は、竹が割れるように、一度勢いがつくと止められないほどの激しい勢いを表します。"
a3b4c5d6-e7f8-9012-3456-234567890123,「いかにも」の正しい使い方はどれですか？,"[""彼はいかにも学者らしい風貌だ"",""いかにも、その件は存じません"",""いかにも、ご飯を食べますか"",""いかにも、明日は晴れるだろう""]",0,"「いかにも」は「本当に」「実に」という意味で、ある特徴が非常によく現れている様子を表すのに使います。"
b4c5d6e7-f8a9-0123-4567-345678901234,「無駄がない」の類義語として最も適切なものはどれですか？,"[""効率的"",""非効率"",""冗長"",""複雑""]",0,"「無駄がない」とは、余計なものがなく、効率が良い状態を指します。"
c5d6e7f8-a9b0-1234-5678-456789012345,「において」の類義語として最も適切なものはどれですか？,"[""で"",""から"",""まで"",""より""]",0,"「において」は場所や時間、状況を示す硬い表現で、日常的な言葉の「で」に近いです。"
d6e7f8a9-b0c1-2345-6789-567890123456,「一石二鳥」と同じ意味のことわざはどれですか？,"[""一挙両得"",""焼け石に水"",""糠に釘"",""絵に描いた餅""]",0,"「一挙両得」は、一つの行動で二つの利益を得ることを意味し、「一石二鳥」と同じ意味です。"
e7f8a9b0-c1d2-3456-7890-678901234567,「身を粉にする」の正しい使い方はどれですか？,"[""彼は家族のために身を粉にして働いた"",""彼女は身を粉にして遊んだ"",""彼は身を粉にして休んだ"",""彼女は身を粉にして勉強をさぼった""]",0,"「身を粉にする」は、自分の体を顧みず、一生懸命に努力すること、特に働くことについて使われます。"
f8a9b0c1-d2e3-4567-8901-789012345678,「後ろ髪を引かれる」の意味として最も適切なものはどれですか？,"[""心残りで、離れがたい気持ち"",""過去の失敗を悔やむ気持ち"",""将来への不安な気持ち"",""他人への嫉妬の気持ち""]",0,"「後ろ髪を引かれる」は、未練や心残りがあって、その場を離れるのが辛いという気持ちを表します。"
a9b0c1d2-e3f4-5678-9012-890123456789,「舌を巻く」の意味として最も適切なものはどれですか？,"[""非常に感心したり驚いたりすること"",""嘘をつくこと"",""美味しいものを食べること"",""話が長くて退屈すること""]",0,"「舌を巻く」は、あまりの素晴らしさに非常に感心し、驚く様子を表す表現です。"
