id,term,reading,meaning_en,meaning_vi,example_jp,section,created_at
14bca22a-9b30-4aae-8338-650e5d91db8a,確,たし,certain; confirm,xác nhận; chắc chắn,事実を確かめる。,kanji,2025-07-01 02:33:29.902374+00
14f8a5dc-7941-47f9-adb7-8d6576dd9557,〜というものだ,〜というものだ,is truly ~; should be called ~,đúng là ~; chính là ~,それはずるいというものだ。,phrase,2025-07-01 02:33:29.902374+00
15254fb3-5df8-4c78-a43c-a929c4e7f94f,〜ことにしている,〜ことにしている,make it a rule to ~,xem như là ~; quyết định ~,毎朝（まいあさ）ジョギングすることにしている。,phrase,2025-07-01 02:33:29.902374+00
18506c41-fb99-4de5-8f6c-f5647de370c1,働,はたら,to work,làm việc,毎日働いている。,kanji,2025-07-01 02:33:29.902374+00
1880e8a2-dbb1-4147-a6dc-2fdc47184079,請求,せいきゅう,claim; billing,yêu cầu thanh toán,料金を請求する。,word,2025-07-01 02:33:29.902374+00
18acea76-e200-481e-b0f8-c57807319ab1,〜ことになっている,〜ことになっている,be supposed to ~; it is decided that ~,được quy định là ~; dự kiến là ~,会議（かいぎ）は10時（じ）に始（はじ）まることになっている。,phrase,2025-07-01 02:33:29.902374+00
1914884c-2760-4370-a24d-43295eac84b2,〜といったらない,〜といったらない,extremely ~,cực kỳ; không thể diễn tả,彼（かれ）の無礼（ぶれい）さといったらない。,phrase,2025-07-01 02:33:29.902374+00
19a84f67-fbbf-4b71-b983-5ba4926be3c8,見通し,みとおし,outlook; forecast,triển vọng; dự báo,明るい見通しが立つ。,word,2025-07-01 02:33:29.902374+00
1a7f2879-be8b-474b-9888-8c39f0c7c0b7,〜を問わず,〜をとわず,regardless of,bất kể; không phân biệt,国籍（こくせき）を問（と）わず応募（おうぼ）できます。,phrase,2025-07-01 02:33:29.902374+00
1bf68a73-3cb0-40d3-9291-b67597c6d58c,局,きょく,bureau; department,cục; bộ phận,税務局で手続きする。,kanji,2025-07-01 02:33:29.902374+00
1cfc0ec1-6049-4c92-9282-46d9f49a814a,〜といっても,〜といっても,even though I say ~; although ~,dù nói là ~ nhưng,旅行（りょこう）といっても近場（ちかば）に行（い）くだけです。,phrase,2025-07-01 02:33:29.902374+00
1e0417bf-030f-4fb0-9e8c-380e149eddd0,的,てき,-al; -ic (adjective suffix),mang tính,基本的な考え。,kanji,2025-07-01 02:33:29.902374+00
1e1aa015-f797-4a72-8512-c2f9b3486e58,違和感,いわかん,sense of discomfort,cảm giác không ổn,この文章には違和感がある。,word,2025-07-01 02:33:29.902374+00
1e4a90d7-4e86-4dd1-bb4b-56b78b27448b,電,でん,electric,điện,電気をつける。,kanji,2025-07-01 02:33:29.902374+00
1e606279-cf8c-4e23-81a2-107de08de2de,悲,かな,sadness,buồn,悲しい話を聞いた。,kanji,2025-07-01 02:33:29.902374+00
1efac998-7d32-4fac-8013-0c0fa81013a4,〜に限って,〜にかぎって,especially when; particularly ~,đúng lúc ~ thì lại ~,急（いそ）いでいる時（とき）に限（かぎ）って渋滞（じゅうたい）する。,phrase,2025-07-01 02:33:29.902374+00
1f6bdc2a-5e01-45c4-b505-6129f99acf79,行方,ゆくえ,whereabouts; direction,tung tích; hướng đi,行方が分からない。,word,2025-07-01 02:33:29.902374+00
211ec374-90b6-4799-81f6-db5069625794,〜はさておき,〜はさておき,setting aside ~; leaving ~ aside,tạm gác ~ lại,冗談（じょうだん）はさておき、本題（ほんだい）に入りましょう。,phrase,2025-07-01 02:33:29.902374+00
21d229bc-487c-46cb-85aa-62b5bb6ead41,印象,いんしょう,impression,ấn tượng,良い印象を与えたい。,word,2025-07-01 02:33:29.902374+00
21dc9800-19c9-4a57-a7bf-8731be8ce42e,円滑,えんかつ,smooth; harmonious,thuận lợi; suôn sẻ,会議が円滑に進んだ。,word,2025-07-01 02:33:29.902374+00
22bcd72b-c8da-401a-9b96-fb6dadeb4a54,販,はん,sell; marketing,bán hàng,新製品を販売する。,kanji,2025-07-01 02:33:29.902374+00
232a54cf-0886-49a4-b1f9-9121fd47746e,験,けん,test; verify,kiểm nghiệm,実験を行う。,kanji,2025-07-01 02:33:29.902374+00
243c7d96-044a-4691-9ca8-3ddaaf2a705b,〜をめぐって,〜をめぐって,concerning; regarding,xoay quanh vấn đề ~,教育改革（きょういくかいかく）をめぐって議論（ぎろん）が行（おこな）われた。,phrase,2025-07-01 02:33:29.902374+00
249b32b7-5072-4519-9e2d-e466afe787e6,際,さい,occasion; time,dịp; lúc,出張の際に会いました。,kanji,2025-07-01 02:33:29.902374+00
261d4e88-069b-4017-9121-13bc9b14aec8,批判,ひはん,criticism,phê phán; chỉ trích,政府の対応を批判する。,word,2025-07-01 02:33:29.902374+00
263e7d94-ebfc-4a63-a26e-4374f0bb2d81,応,おう,respond; reply,ứng; phản hồi,要望に応える。,kanji,2025-07-01 02:33:29.902374+00
26bb24e7-2661-43b3-bea2-125fa9ec5126,〜を余儀なくされる,〜をよぎなくされる,be forced to ~,bị buộc phải ~,彼（かれ）は辞職（じしょく）を余儀（よぎ）なくされた。,phrase,2025-07-01 02:33:29.902374+00
272f2662-ab27-4e02-a7cd-99f3021535d8,割り当て,わりあて,allocation; assignment,phân bổ,作業を割り当てる。,word,2025-07-01 02:33:29.902374+00
27963df1-d2cf-4728-9e7b-26c33d7901ed,縮小,しゅくしょう,reduction; shrinkage,thu nhỏ,規模を縮小する。,word,2025-07-01 02:33:29.902374+00
280cf2bd-1488-432a-a8ed-8ee707b961af,反映,はんえい,reflection; influence,phản ánh,結果に努力が反映された。,word,2025-07-01 02:33:29.902374+00
2869d2d6-13ab-4a69-91a1-af173c4f5dd7,疑う,うたがう,to doubt; to suspect,nghi ngờ,彼の話を疑っている。,word,2025-07-01 02:33:29.902374+00
2873f8a1-8441-43b1-bd69-39bbb285a6d1,状,じょう,condition; situation,tình trạng; hoàn cảnh,状況が変わった。,kanji,2025-07-01 02:33:29.902374+00
28e466b8-551f-4348-97a5-89530356b166,厳密,げんみつ,strict; precise,nghiêm ngặt; chính xác,厳密に言えば違う。,word,2025-07-01 02:33:29.902374+00
2901e7cd-2de6-4f66-8eee-52022b6b4bdf,職,しょく,job; employment,công việc; nghề nghiệp,就職活動をする。,kanji,2025-07-01 02:33:29.902374+00
29a10853-0422-421d-879a-724c91a3f196,煽てる,おだてる,to flatter; to sweet-talk,nịnh hót; tâng bốc,子供を煽てて勉強させる。,word,2025-07-01 02:33:29.902374+00
2a4c667d-4086-4e70-8305-f91674f13b16,易,やさ,easy; simple,dễ,簡単で易しい。,kanji,2025-07-01 02:33:29.902374+00
2a95cf59-2a4a-422d-ba1b-f0bcca8e8b55,〜てからでないと,〜てからでないと,unless ~ is done first,nếu chưa ~ thì không thể ~,許可（きょか）をもらってからでないと入（はい）れません。,phrase,2025-07-01 02:33:29.902374+00
2af57714-64c3-45fb-a6a8-e9cf8dbc542d,間,あいだ,interval; between,khoảng cách; giữa,授業の間に休憩する。,kanji,2025-07-01 02:33:29.902374+00
2b73544f-d7e7-4c17-8022-1b681b9f36c5,〜かのように,〜かのように,as if ~,như thể là ~,彼（かれ）は何（なに）も知（し）らないかのようにふるまった。,phrase,2025-07-01 02:33:29.902374+00
2cec519f-c3c1-4a4e-8e40-0077fefbf0f2,店,みせ,shop; store,cửa hàng,店に行く。,kanji,2025-07-01 02:33:29.902374+00
2cf2dc65-9b98-45f7-8660-0f44ed3a7404,聞,き,to hear,nghe,音楽を聞く。,kanji,2025-07-01 02:33:29.902374+00
2d6305ee-ce1c-46bc-acc4-d35e57c91b75,〜だけあって,〜だけあって,as expected of ~; indeed ~,quả đúng là ~; tương xứng với ~,彼（かれ）はプロだけあって演技（えんぎ）がうまい。,phrase,2025-07-01 02:33:29.902374+00
2e1d2245-66c0-450b-9760-e997a6c1d4bc,〜とばかりに,〜とばかりに,as if to say ~,như thể muốn nói ~,彼（かれ）は「見（み）ろ」とばかりに笑（わら）った。,phrase,2025-07-01 02:33:29.902374+00
2e74f4fb-83bf-4bc2-820c-179f28b569a6,〜ないことには〜ない,〜ないことには〜ない,"unless ~, ~ won’t happen",nếu không ~ thì không thể ~,本当（ほんとう）のことを言（い）わないことには、解決（かいけつ）しない。,phrase,2025-07-01 02:33:29.902374+00
30b24f66-95e1-4946-a983-cb3b13295bc2,普及,ふきゅう,spread; popularization,phổ cập,スマートフォンが普及している。,word,2025-07-01 02:33:29.902374+00
318d4dd4-83ab-4536-a295-c7830e3f2a40,拡大,かくだい,expansion; enlargement,mở rộng,市場を拡大する。,word,2025-07-01 02:33:29.902374+00
31953617-55ef-48e7-bb7c-9f596708c4d5,構,こう,structure; construct,cấu trúc; xây dựng,家を構える。,kanji,2025-07-01 02:33:29.902374+00
31ac9ab6-b58e-429b-9abe-88b45e2d29e5,見解,けんかい,opinion; view,quan điểm,専門家の見解を聞く。,word,2025-07-01 02:33:29.902374+00
3357cd97-97b2-4a3e-99a4-41a9d0bb4772,〜にたえる,〜にたえる,worth ~; capable of ~,đáng để ~; chịu đựng được ~,鑑賞（かんしょう）にたえる映画（えいが）だ。,phrase,2025-07-01 02:33:29.902374+00
33b76e1c-e949-4d51-9e2d-d3bac6c99f0b,〜てやまない,〜てやまない,always sincerely ~,luôn chân thành ~,皆様（みなさま）のご健康（けんこう）を願（ねが）ってやみません。,phrase,2025-07-01 02:33:29.902374+00
34cb7d5e-b0d4-4c15-abb3-bac045eb5fcb,賞,しょう,prize; reward,giải thưởng,賞を受ける。,kanji,2025-07-01 02:33:29.902374+00
3563b3cd-fb55-4245-a674-e3ba91d71102,支持,しじ,support; backing,ủng hộ; hỗ trợ,彼を支持する。,word,2025-07-01 02:33:29.902374+00
357d7ff8-4076-4bc0-9f37-cf3ebf5f53bd,造,ぞう,build; create,tạo ra; chế tạo,橋を造る。,kanji,2025-07-01 02:33:29.902374+00
35e6dc8c-683e-40ec-89d3-b5d481d0519f,個,こ,individual; piece,cá nhân; cái,一個ずつ渡す。,kanji,2025-07-01 02:33:29.902374+00
369512e8-4bba-40c9-a8d4-2eab40a5493c,〜にしては,〜にしては,considering; for ~,dù là ~ mà lại ~,初（はじ）めてにしては上手（じょうず）ですね。,phrase,2025-07-01 02:33:29.902374+00
3700e2bb-fbbb-4738-9a78-202f85e11a3b,雇,やと,employ; hire,thuê; tuyển dụng,スタッフを雇う。,kanji,2025-07-01 02:33:29.902374+00
373037d9-7266-4c9f-a404-e038a158edc7,問,と,question; ask,hỏi; câu hỏi,質問をする。,kanji,2025-07-01 02:33:29.902374+00
383f42f8-c10e-4729-b122-0de8e322a708,検,けん,examine; test,kiểm tra,検査を受ける。,kanji,2025-07-01 02:33:29.902374+00
388e3430-1662-4796-b0ce-dc201252c927,組織,そしき,organization; system,tổ chức,組織を改編する。,word,2025-07-01 02:33:29.902374+00
38f828b3-d630-4b5a-afef-88ee23f1b159,〜に応じて,〜におうじて,according to; in response to,tùy theo; ứng với,状況（じょうきょう）に応（おう）じて対応（たいおう）する。,phrase,2025-07-01 02:33:29.902374+00
397cf111-48f2-4c60-b192-cbb106ec3482,疑,ぎ,suspicion; doubt,sự nghi ngờ,疑問を抱く。,kanji,2025-07-01 02:33:29.902374+00
398b9e3a-c265-435b-b3bd-7652becf399e,意義,いぎ,meaning; significance,ý nghĩa,この活動には大きな意義がある。,word,2025-07-01 02:33:29.902374+00
3b898e4f-3792-4850-a90f-8c725c865ace,績,せき,achievement,thành tích,成績が上がる。,kanji,2025-07-01 02:33:29.902374+00
3ba53729-d74f-4e5f-8ece-413e8ada5b35,一概に〜とは言えない,いちがいに〜とはいえない,can't say ~ universally,không thể nói chung là ~,貧乏（びんぼう）だから不幸（ふこう）だとは一概に言えない。,phrase,2025-07-01 02:33:29.902374+00
3bdd5901-92ff-41d2-9d8c-7ce94bf487b5,忘,わす,forget,quên,名前を忘れた。,kanji,2025-07-01 02:33:29.902374+00
3c6534da-baaf-422e-b001-8fb0dc0e012f,造,つく,to make; produce,làm ra; tạo ra,家具を造る。,kanji,2025-07-01 02:33:29.902374+00
3c69be82-a28e-4e0e-ba80-8f10314b6eb3,会,あ,to meet,gặp,友達に会う。,kanji,2025-07-01 02:33:29.902374+00
3cc0ef0a-632e-4b83-99a2-447b7bcc89aa,調,しら,investigate; tune,điều tra; điều chỉnh,原因を調べる。,kanji,2025-07-01 02:33:29.902374+00
3e257acb-42f7-43a5-bad2-0a7b07efe725,証,しょう,evidence; proof,chứng cứ,証拠を提出する。,kanji,2025-07-01 02:33:29.902374+00
3e55f7b2-2cc7-4b60-8b8b-5d5c1c006583,辞,じ,resign; word,từ chức; từ ngữ,辞書で意味を調べる。,kanji,2025-07-01 02:33:29.902374+00
3f52b984-3c48-4579-be04-bccbe121a485,状,じょう,condition; status,tình trạng,健康状態が悪い。,kanji,2025-07-01 02:33:29.902374+00
423f2d4a-5e7d-4a99-85cd-50382d3491bd,権,けん,right; authority,quyền hạn,権利を守る。,kanji,2025-07-01 02:33:29.902374+00
4291dbb8-2622-4e3b-aabf-0a52db955d0d,〜にしても,〜にしても,even if; even though,dù là ~,冗談（じょうだん）にしても言（い）いすぎだ。,phrase,2025-07-01 02:33:29.902374+00
42c751a4-cd64-4e09-b3f6-f4476bc14b98,認,にん,recognize,công nhận,認識が甘い。,kanji,2025-07-01 02:33:29.902374+00
432342cd-77bb-4b03-b5f6-effbe8b518f9,対象,たいしょう,target; subject,đối tượng,調査の対象は学生だ。,word,2025-07-01 02:33:29.902374+00
443deb4e-a28d-401e-ab37-f647e03002fe,曖昧,あいまい,vague; ambiguous,mơ hồ; không rõ ràng,彼の説明は曖昧すぎる。,word,2025-07-01 02:07:53.993451+00
44d597fb-811b-4953-9bd2-32c69f63883a,要旨,ようし,summary; gist,tóm tắt; cốt lõi,報告の要旨を述べる。,word,2025-07-01 02:33:29.902374+00
45e9e1c9-9b95-4152-86d4-70f3a23f0e5c,終,お,to end; finish,kết thúc,会議が終わった。,kanji,2025-07-01 02:33:29.902374+00
467dfd16-40e2-4dce-a82d-cdfb193f7207,〜をこめて,〜をこめて,with (feeling); filled with,"với tất cả (tấm lòng, tình cảm)",感謝（かんしゃ）をこめて花束（はなたば）を贈（おく）る。,phrase,2025-07-01 02:33:29.902374+00
475c8c06-728b-45b9-ac88-bb0d581b41f0,喜,よろこ,joy; delight,vui mừng,喜びの声が上がる。,kanji,2025-07-01 02:33:29.902374+00
47cfb5bb-8d74-4f54-ab96-71af98372e80,顕著,けんちょ,remarkable; prominent,rõ rệt; nổi bật,顕著な改善が見られる。,word,2025-07-01 02:07:53.993451+00
48338ed5-cae4-4c4b-865a-1ce070ec864e,模索,もさく,search; exploration,tìm kiếm; mò mẫm,解決策を模索する。,word,2025-07-01 02:33:29.902374+00
488ab94d-2bf4-4b2a-8708-33ed5e53aa64,営,えい,manage; operate,kinh doanh; điều hành,レストランを営む。,kanji,2025-07-01 02:33:29.902374+00
48d4d1f7-eec7-4149-adc4-31e1e2565ad8,枠組み,わくぐみ,framework,khuôn khổ; cơ cấu,新しい枠組みを作る。,word,2025-07-01 02:33:29.902374+00
4a20582f-57a2-4d25-9801-e807bbd87a4b,〜に越したことはない,〜にこしたことはない,~ is best; nothing better than ~,~ vẫn là tốt nhất,用心（ようじん）に越したことはない。,phrase,2025-07-01 02:33:29.902374+00
4b89b63b-85b0-4b0b-9295-05fc4c669b74,偶然,ぐうぜん,coincidence; accident,tình cờ; ngẫu nhiên,偶然彼に会った。,word,2025-07-01 02:07:53.993451+00
4bfb3919-c3c8-48bd-b67f-a734a162c665,志,こころざし,will; ambition,ý chí; hoài bão,志を持つ。,kanji,2025-07-01 02:33:29.902374+00
4e76d7fc-7fb6-4b52-8b11-3a8505cc15f7,労,ろう,labor; effort,lao động; nỗ lực,労働条件を改善する。,kanji,2025-07-01 02:33:29.902374+00
4ea0142e-1975-4c51-8d46-d66897a4e57c,〜をもって,〜をもって,as of; by means of,kể từ ~; bằng ~,本日（ほんじつ）をもって閉店（へいてん）します。,phrase,2025-07-01 02:33:29.902374+00
4ec9c5ca-78ae-4a56-b772-1f0802125563,成立,せいりつ,establishment; formation,thành lập; thiết lập,契約が成立した。,word,2025-07-01 02:33:29.902374+00
4f46d63b-0800-499e-a0ea-9e959301ae8b,〜にしても〜にしても,〜にしても〜にしても,whether A or B,dù là A hay B,行（い）くにしても行（い）かないにしても、連絡（れんらく）してください。,phrase,2025-07-01 02:33:29.902374+00
4fc7a7ae-40e7-4869-b9b3-16ce58ed5c7b,恩恵,おんけい,benefit; blessing,ân huệ; lợi ích,自然の恩恵を受ける。,word,2025-07-01 02:33:29.902374+00
50352f65-1659-4c22-9493-5d2a3f6aadc9,類,るい,type; kind,loại; giống,同類の問題。,kanji,2025-07-01 02:33:29.902374+00
510d6c82-7a0e-4919-9f24-f4ddbc18939c,演,えん,perform; play,biểu diễn; trình diễn,舞台で演じる。,kanji,2025-07-01 02:33:29.902374+00
51185be7-b3bd-4b6b-a75d-3b74b2147371,制,せい,control; system,chế độ; kiểm soát,制度を整える。,kanji,2025-07-01 02:33:29.902374+00
515123ef-c403-4edb-86b2-1b6cfbe1785d,合意,ごうい,agreement; consent,đồng thuận; nhất trí,両者が合意に達した。,word,2025-07-01 02:33:29.902374+00
520796fb-9791-438c-a5f9-0fe6970fc6bd,論,ろん,argument; discourse,luận; tranh luận,議論が続く。,kanji,2025-07-01 02:33:29.902374+00
5241a2df-37e7-4893-9101-f7393f31bfef,〜をはじめ,〜をはじめ,starting with ~,trước hết là ~,社長（しゃちょう）をはじめ、多（おお）くの人（ひと）が参加（さんか）した。,phrase,2025-07-01 02:33:29.902374+00
534102ec-e692-47e1-8771-b73a18c1f3f5,〜にほかならない,〜にほかならない,nothing but; none other than,không gì khác ngoài ~,成功（せいこう）は努力（どりょく）の結果（けっか）にほかならない。,phrase,2025-07-01 02:33:29.902374+00
53d19550-aea0-493a-8a83-0a26489ce00f,特定,とくてい,specific; particular,cụ thể; đặc thù,特定の条件を満たす。,word,2025-07-01 02:33:29.902374+00
53d6b991-2bc9-4062-a9a1-3f8fb982dad9,調整,ちょうせい,adjustment,điều chỉnh,スケジュールを調整する。,word,2025-07-01 02:33:29.902374+00
53d8d027-6614-49b4-b405-0daf6c9f2835,解,かい,solve; explanation,giải thích; giải quyết,問題を解決する。,kanji,2025-07-01 02:33:29.902374+00
53db42a4-bb5b-4e32-814e-28a096912e13,携帯,けいたい,mobile; portable,di động; cầm tay,携帯電話を持っている。,word,2025-07-01 02:33:29.902374+00
54593521-516e-4fee-a6db-29c84690b2e8,機,き,machine; opportunity,máy móc; cơ hội,機会を逃すな。,kanji,2025-07-01 02:33:29.902374+00
564dc32a-f42e-48d0-897b-bb7f230de64f,売,う,to sell,bán,商品を売る。,kanji,2025-07-01 02:33:29.902374+00
5683d948-790a-422e-aa40-bae4bad4dee8,格,かく,status; rank,địa vị; hạng,資格を取る。,kanji,2025-07-01 02:33:29.902374+00
59ad2276-3b3e-4eda-99c5-4c5aeb850cec,記,き,record; write down,ghi chép,日記をつける。,kanji,2025-07-01 02:33:29.902374+00
59b10c4a-3eac-4700-82d0-7c4a89b7dc57,〜限り,〜かぎり,as long as; to the extent that,chừng nào còn ~; trong phạm vi ~,私（わたし）が知（し）る限（かぎ）り、彼（かれ）は無実（むじつ）だ。,phrase,2025-07-01 02:33:29.902374+00
5a02feb3-4c86-46d3-b85b-6e5068ba456a,限,かぎ,limit; restrict,giới hạn,人数を限る。,kanji,2025-07-01 02:33:29.902374+00
5b1bfaf7-48b9-43d5-9753-ec1bf72583b2,悪,あく,bad; evil,xấu; ác,悪い習慣。,kanji,2025-07-01 02:33:29.902374+00
5b55f816-dda3-4e1d-9740-38272c061d1a,〜ずにすむ,〜ずにすむ,get by without ~,không cần phải ~ cũng được,謝（あやま）らずにすんでよかった。,phrase,2025-07-01 02:33:29.902374+00
5b5af028-e653-4b3e-8e52-b39b7982fa51,貢献,こうけん,contribution,đóng góp,社会に貢献する。,word,2025-07-01 02:33:29.902374+00
5d73d6a4-60c0-4846-a527-c5d9e62f05fb,告,こく,inform; announce,thông báo; tuyên bố,結婚を報告する。,kanji,2025-07-01 02:33:29.902374+00
5d7c1e5d-567e-4a1e-bbbf-7a70190bb9b2,確保,かくほ,securing; ensuring,đảm bảo,安全を確保する。,word,2025-07-01 02:33:29.902374+00
5e00339d-00c8-4717-b688-69e057f03a72,延ばす,のばす,to postpone; to extend,trì hoãn; kéo dài,締切を延ばす。,word,2025-07-01 02:33:29.902374+00
5e821a2b-70bc-4bd9-bc19-e801f3482dbd,展開,てんかい,development; unfolding,triển khai; phát triển,事業を展開する。,word,2025-07-01 02:33:29.902374+00
60c9851c-332c-40e3-affa-e57652d2d3c6,責,せき,blame; duty,trách nhiệm,責任を持つ。,kanji,2025-07-01 02:33:29.902374+00
612d6c20-4a9b-43c7-9528-e2de72b8daef,〜んがために,〜んがために,in order to ~ (formal),để mà ~ (trang trọng),成功（せいこう）せんがために必死（ひっし）に努力（どりょく）した。,phrase,2025-07-01 02:33:29.902374+00
6225bb2f-94ea-40b0-9fe4-630774964c17,給,きゅう,salary; supply,lương; cung cấp,給料が上がる。,kanji,2025-07-01 02:33:29.902374+00
6275278e-c106-4b31-8906-192ac2de595c,〜うちに,〜うちに,while; during the time ~,trong khi còn ~,若（わか）いうちにたくさん挑戦（ちょうせん）したい。,phrase,2025-07-01 02:33:29.902374+00
62927dc1-cf91-42b9-a34c-db9db78ca848,拠点,きょてん,base; location,cơ sở; địa điểm chính,海外に拠点を持つ。,word,2025-07-01 02:33:29.902374+00
62b847c2-d72e-406b-a260-2edafb4da034,無,む,nothing; without,không có,無理をしないでください。,kanji,2025-07-01 02:33:29.902374+00
636957fe-0fa0-41d8-a3da-bb2ef4eeea9a,頻繁,ひんぱん,frequent,thường xuyên,最近地震が頻繁に起きている。,word,2025-07-01 02:33:29.902374+00
63726f84-6f6f-453b-acb7-9320f3e7ae7e,〜としたら,〜としたら,if we assume that ~,giả sử là ~,留学（りゅうがく）するとしたら、アメリカに行（い）きたい。,phrase,2025-07-01 02:33:29.902374+00
637a2205-4101-4a1e-89fc-1f2c804fbddf,維持,いじ,maintain; sustain,duy trì,健康を維持する。,word,2025-07-01 02:33:29.902374+00
63b4aeda-f5d1-4b05-9667-4aa5b6520356,映る,うつる,to be reflected,phản chiếu; hiện lên,鏡に顔が映る。,word,2025-07-01 02:33:29.902374+00
