term,reading,meaning_en,meaning_vi,example_jp,section
案,あん,idea; plan,kế hoạch; phương án,新しい案を考える。,kanji
策,さく,policy; plan,chiến lược; sách lược,対策を練る。,kanji
課,か,section; assignment,bài học; bộ phận,宿題の課を読む。,kanji
解,かい,solve; explanation,giải thích; giải quyết,問題を解決する。,kanji
説,せつ,theory; explanation,giải thích; lý thuyết,仮説を立てる。,kanji
状,じょう,condition; status,tình trạng,健康状態が悪い。,kanji
況,きょう,situation; condition,tình hình,状況を把握する。,kanji
報,ほう,report; news,báo cáo; tin tức,最新情報を報告する。,kanji
告,こく,inform; announce,thông báo; tuyên bố,結婚を報告する。,kanji
設,せつ,establish; install,thiết lập; cài đặt,新しい制度を設ける。,kanji
備,そな,prepare; equip,chuẩn bị; trang bị,災害に備える。,kanji
際,さい,occasion; time,dịp; lúc,出張の際に会いました。,kanji
応,おう,respond; reply,ứng; phản hồi,要望に応える。,kanji
企,き,plan; enterprise,kế hoạch; doanh nghiệp,新しい事業を企画する。,kanji
営,えい,manage; operate,kinh doanh; điều hành,レストランを営む。,kanji
展,てん,develop; expand,phát triển; mở rộng,海外に展開する。,kanji
責,せき,blame; duty,trách nhiệm,責任を持つ。,kanji
任,にん,duty; appoint,nhiệm vụ; bổ nhiệm,社長に任命された。,kanji
権,けん,right; authority,quyền hạn,権利を守る。,kanji
制,せい,control; system,chế độ; kiểm soát,制度を整える。,kanji
限,かぎ,limit; restrict,giới hạn,人数を限る。,kanji
演,えん,perform; play,biểu diễn; trình diễn,舞台で演じる。,kanji
劇,げき,drama; play,vở kịch; kịch,演劇を見る。,kanji
優,ゆう,excellent; gentle,xuất sắc; dịu dàng,彼はとても優しい人だ。,kanji
賞,しょう,prize; reward,giải thưởng,賞を受ける。,kanji
態,たい,attitude; state,thái độ; trạng thái,態度が悪い。,kanji
状,じょう,condition; situation,tình trạng; hoàn cảnh,状況が変わった。,kanji
況,きょう,situation; state,tình trạng,不況が続いている。,kanji
報,ほう,report; inform,báo cáo; thông báo,事件を報道する。,kanji
喜,よろこ,joy; delight,vui mừng,喜びの声が上がる。,kanji
怒,いか,anger,tức giận,彼は怒っている。,kanji
悲,かな,sadness,buồn,悲しい話を聞いた。,kanji
笑,わら,laugh; smile,cười,彼女はよく笑う。,kanji
欲,よく,desire; greed,ham muốn; tham vọng,欲が深い人。,kanji
信,しん,trust; belief,niềm tin,自分を信じる。,kanji
疑,うたが,doubt; suspect,nghi ngờ,真実を疑う。,kanji
確,たし,certain; confirm,xác nhận; chắc chắn,事実を確かめる。,kanji
認,みと,acknowledge; admit,công nhận; thừa nhận,過ちを認める。,kanji
断,ことわ,refuse; reject,từ chối,申し出を断る。,kanji
承,しょう,accept; agree,chấp nhận; thừa nhận,依頼を承る。,kanji
解,かい,solve; untie,giải quyết; tháo gỡ,問題を解く。,kanji
疑,ぎ,suspicion; doubt,sự nghi ngờ,疑問を抱く。,kanji
難,むずか,difficult,khó,難しい問題だ。,kanji
易,やさ,easy; simple,dễ,簡単で易しい。,kanji
単,たん,single; simple,đơn; đơn giản,単語を覚える。,kanji
複,ふく,multiple; complex,phức; phức tạp,複雑な状況。,kanji
形,かたち,shape; form,hình dạng,形が変わった。,kanji
状,じょう,condition; appearance,tình trạng; trạng thái,異常な状態。,kanji
性,せい,nature; gender,tính chất; giới tính,性格が明るい。,kanji
格,かく,status; rank,địa vị; hạng,資格を取る。,kanji
費,ひ,cost; expense,chi phí,交通費が高い。,kanji
資,し,resources; capital,tài nguyên; vốn,資源を守る。,kanji
財,ざい,wealth; finance,tài sản; tài chính,財産を管理する。,kanji
産,さん,produce; industry,sản xuất; công nghiệp,農産物を輸出する。,kanji
商,しょう,commerce; trade,thương mại,商業施設が増える。,kanji
販,はん,sell; marketing,bán hàng,新製品を販売する。,kanji
値,ね,price; value,giá trị; giá cả,値段が高い。,kanji
税,ぜい,tax,thuế,税金を払う。,kanji
収,しゅう,income; gather,thu nhập; thu thập,収入を得る。,kanji
給,きゅう,salary; supply,lương; cung cấp,給料が上がる。,kanji
雇,やと,employ; hire,thuê; tuyển dụng,スタッフを雇う。,kanji
職,しょく,job; employment,công việc; nghề nghiệp,就職活動をする。,kanji
退,たい,retire; retreat,rút lui; nghỉ việc,会社を退職する。,kanji
辞,じ,resign; word,từ chức; từ ngữ,辞書で意味を調べる。,kanji
労,ろう,labor; effort,lao động; nỗ lực,労働条件を改善する。,kanji
働,はたら,to work,làm việc,毎日働いている。,kanji
能,のう,ability; performance,năng lực; khả năng,彼は能力がある。,kanji
効,こう,effect; efficiency,hiệu quả,効果が出る。,kanji
績,せき,achievement,thành tích,成績が上がる。,kanji
価,か,value; worth,giá trị,価値がある。,kanji
評,ひょう,review; evaluate,đánh giá,評価が高い。,kanji
判,はん,judge; decision,phán đoán,判断が速い。,kanji
断,だん,refuse; cut off,từ chối; cắt đứt,関係を断つ。,kanji
認,にん,recognize,công nhận,認識が甘い。,kanji
証,しょう,evidence; proof,chứng cứ,証拠を提出する。,kanji
類,るい,type; kind,loại; giống,同類の問題。,kanji
例,れい,example,ví dụ,例を挙げる。,kanji
個,こ,individual; piece,cá nhân; cái,一個ずつ渡す。,kanji
件,けん,matter; case,vụ việc,重要な件。,kanji
状,じょう,status; shape,tình trạng,状態が悪化した。,kanji
局,きょく,bureau; department,cục; bộ phận,税務局で手続きする。,kanji
機,き,machine; opportunity,máy móc; cơ hội,機会を逃すな。,kanji
械,かい,machine; device,máy móc; thiết bị,精密機械を扱う。,kanji
構,こう,structure; construct,cấu trúc; xây dựng,家を構える。,kanji
造,ぞう,build; create,tạo ra; chế tạo,橋を造る。,kanji
築,ちく,construct,xây dựng,信頼関係を築く。,kanji
製,せい,manufacture,chế tạo; sản xuất,日本製の車。,kanji
造,つく,to make; produce,làm ra; tạo ra,家具を造る。,kanji
築,きず,build; establish,xây dựng,友情を築く。,kanji
備,そな,prepare; equip,chuẩn bị; trang bị,地震に備える。,kanji
設,せつ,establish; set up,thiết lập,会社を設立する。,kanji
改,あらた,revise; renew,cải cách; đổi mới,制度を改める。,kanji
善,ぜん,goodness; virtue,thiện; tốt,善と悪。,kanji
悪,あく,bad; evil,xấu; ác,悪い習慣。,kanji
欲,よく,desire; greed,ham muốn,欲を抑える。,kanji
志,こころざし,will; ambition,ý chí; hoài bão,志を持つ。,kanji
夢,ゆめ,dream,giấc mơ,夢がかなう。,kanji
望,のぞ,hope; desire,mong muốn,成功を望む。,kanji
念,ねん,thought; attention,ý niệm; chú ý,念のため確認する。,kanji
忘,わす,forget,quên,名前を忘れた。,kanji
記,き,record; write down,ghi chép,日記をつける。,kanji
録,ろく,record,ghi âm; ghi lại,会話を録音する。,kanji
誌,し,magazine; journal,tạp chí,雑誌を読む。,kanji
調,しら,investigate; tune,điều tra; điều chỉnh,原因を調べる。,kanji
査,さ,inspect; investigate,kiểm tra; điều tra,調査を行う。,kanji
検,けん,examine; test,kiểm tra,検査を受ける。,kanji
試,し,test; try,thử; kiểm tra,新しい方法を試す。,kanji
験,けん,test; verify,kiểm nghiệm,実験を行う。,kanji
質,しつ,quality; question,chất lượng; câu hỏi,品質が高い。,kanji
問,と,question; ask,hỏi; câu hỏi,質問をする。,kanji
答,こた,answer; respond,trả lời,質問に答える。,kanji
解,かい,solve; answer,giải quyết; đáp án,問題を解く。,kanji
説,せつ,explanation; theory,giải thích; lý thuyết,説明を受ける。,kanji
論,ろん,argument; discourse,luận; tranh luận,議論が続く。,kanji
証,しょう,proof; certificate,chứng minh; giấy chứng nhận,証明書を提出する。,kanji
識,しき,knowledge; awareness,nhận thức; hiểu biết,常識を身につける。,kanji
一概に〜とは言えない,いちがいに〜とはいえない,can't say ~ universally,không thể nói chung là ~,貧乏（びんぼう）だから不幸（ふこう）だとは一概に言えない。,phrase
〜に越したことはない,〜にこしたことはない,~ is best; nothing better than ~,~ vẫn là tốt nhất,用心（ようじん）に越したことはない。,phrase
〜はさておき,〜はさておき,setting aside ~; leaving ~ aside,tạm gác ~ lại,冗談（じょうだん）はさておき、本題（ほんだい）に入りましょう。,phrase
〜にもほどがある,〜にもほどがある,too much; excessive,quá mức; không thể chấp nhận,冗談（じょうだん）にもほどがあるよ！,phrase
〜てやまない,〜てやまない,always sincerely ~,luôn chân thành ~,皆様（みなさま）のご健康（けんこう）を願（ねが）ってやみません。,phrase
〜にしては,〜にしては,considering ~; for ~,dù là ~ mà lại,彼（かれ）は初心者（しょしんしゃ）にしては上手（じょうず）だ。,phrase
〜かねない,〜かねない,might; could possibly,có khả năng; có thể,その発言（はつげん）は誤解（ごかい）を招（まね）きかねない。,phrase
〜というものではない,〜というものではない,it's not necessarily that ~,không hẳn là ~,金（かね）があれば幸（しあわ）せというものではない。,phrase
〜をめぐって,〜をめぐって,concerning; regarding,xoay quanh vấn đề ~,教育改革（きょういくかいかく）をめぐって議論（ぎろん）が行（おこな）われた。,phrase
〜に際して,〜にさいして,on the occasion of,nhân dịp; vào lúc,契約（けいやく）に際（さい）して、注意事項（ちゅういじこう）を確認（かくにん）してください。,phrase
〜ないではいられない,〜ないではいられない,can't help but ~,không thể không ~,彼（かれ）の話（はなし）を聞（き）いて笑（わら）わないではいられなかった。,phrase
〜にほかならない,〜にほかならない,nothing but; none other than,không gì khác ngoài ~,成功（せいこう）は努力（どりょく）の結果（けっか）にほかならない。,phrase
〜に限らず,〜にかぎらず,not only ~ but also,không chỉ ~ mà còn,学生（がくせい）に限（かぎ）らず、社会人（しゃかいじん）も参加（さんか）できる。,phrase
〜を問わず,〜をとわず,regardless of,bất kể; không kể,年齢（ねんれい）を問（と）わず応募（おうぼ）できます。,phrase
〜ずにはすまない,〜ずにはすまない,must; can't avoid ~,phải ~; không thể không ~,謝（あやま）らずにはすまない状況（じょうきょう）だ。,phrase
〜といったらない,〜といったらない,extremely ~,cực kỳ; không thể diễn tả,彼（かれ）の無礼（ぶれい）さといったらない。,phrase
〜にすぎない,〜にすぎない,nothing more than,chỉ là ~ mà thôi,それはうわさにすぎない。,phrase
〜をこめて,〜をこめて,with (feeling); filled with,"với tất cả (tấm lòng, tình cảm)",感謝（かんしゃ）をこめて花束（はなたば）を贈（おく）る。,phrase
〜とはいえ,〜とはいえ,having said that; nonetheless,dù nói là vậy nhưng ~,冬（ふゆ）とはいえ、暖（あたた）かい日（ひ）もある。,phrase
〜にしても,〜にしても,even if; even though,dù là ~,冗談（じょうだん）にしても言（い）いすぎだ。,phrase
〜ところだった,〜ところだった,almost (happened),suýt nữa thì ~,寝坊（ねぼう）して遅刻（ちこく）するところだった。,phrase
〜たとたん,〜たとたん,as soon as ~,ngay khi ~,外（そと）に出（で）たとたん、雨（あめ）が降（ふ）り出（だ）した。,phrase
〜というより,〜というより,rather than ~,nói đúng hơn là ~,彼（かれ）は天才（てんさい）というより努力家（どりょくか）だ。,phrase
〜たあげく,〜たあげく,after ~ (resulting in),sau khi ~ thì (kết quả xấu),長時間（ちょうじかん）話（はな）したあげく、何（なに）も決（き）まらなかった。,phrase
〜にかかわらず,〜にかかわらず,regardless of; despite,bất kể; không liên quan đến,天候（てんこう）にかかわらず試合（しあい）は行（おこな）われる。,phrase
〜としたら,〜としたら,if we assume that ~,giả sử là ~,留学（りゅうがく）するとしたら、アメリカに行（い）きたい。,phrase
〜てからでないと,〜てからでないと,unless ~ is done first,nếu chưa ~ thì không thể ~,許可（きょか）をもらってからでないと入（はい）れません。,phrase
〜にすれば,〜にすれば,from the perspective of ~,đối với ~,親（おや）にすれば心配（しんぱい）だろう。,phrase
〜といっても,〜といっても,even though I say ~; although ~,dù nói là ~ nhưng,旅行（りょこう）といっても近場（ちかば）に行（い）くだけです。,phrase
〜に違いない,〜にちがいない,must be; no doubt,chắc chắn là ~,あの人（ひと）は先生（せんせい）に違（ちが）いない。,phrase
〜ようがない,〜ようがない,there’s no way to ~,không có cách nào mà ~,彼（かれ）の連絡先（れんらくさき）が分（わ）からないから、連絡（れんらく）しようがない。,phrase
〜ないことには〜ない,〜ないことには〜ない,"unless ~, ~ won’t happen",nếu không ~ thì không thể ~,本当（ほんとう）のことを言（い）わないことには、解決（かいけつ）しない。,phrase
〜末に,〜すえに,after (much...) finally,sau khi ~ thì cuối cùng,悩（なや）んだ末（すえ）に決断（けつだん）した。,phrase
〜だけあって,〜だけあって,as expected of ~; indeed ~,quả đúng là ~; tương xứng với ~,彼（かれ）はプロだけあって演技（えんぎ）がうまい。,phrase
〜どころではない,〜どころではない,this is not the time for ~,không phải lúc để ~,遊（あそ）びに行（い）くどころではない。,phrase
〜に応じて,〜におうじて,depending on ~,ứng với; theo ~,収入（しゅうにゅう）に応（おう）じて生活（せいかつ）も変（か）わる。,phrase
〜を通じて,〜をつうじて,through; via,thông qua; suốt,仕事（しごと）を通（つう）じて成長（せいちょう）した。,phrase
〜をはじめ,〜をはじめ,starting with ~,trước hết là ~,社長（しゃちょう）をはじめ、多（おお）くの人（ひと）が参加（さんか）した。,phrase
〜恐れがある,〜おそれがある,there is a fear that ~,có nguy cơ ~,地震（じしん）が起（お）こる恐（おそ）れがある。,phrase
〜ことから,〜ことから,because of; due to,bởi vì ~; do ~,火（ひ）が出（で）たことから避難（ひなん）した。,phrase
〜ということだ,〜ということだ,it means that ~; I've heard that ~,nghe nói là ~; có nghĩa là ~,彼（かれ）は来（こ）ないということだ。,phrase
〜ことなく,〜ことなく,without doing ~,mà không ~,彼（かれ）は休（やす）むことなく働（はたら）き続（つづ）けた。,phrase
〜ことにしている,〜ことにしている,make it a rule to ~,xem như là ~; quyết định ~,毎朝（まいあさ）ジョギングすることにしている。,phrase
〜ことになっている,〜ことになっている,be supposed to ~; it is decided that ~,được quy định là ~; dự kiến là ~,会議（かいぎ）は10時（じ）に始（はじ）まることになっている。,phrase
〜ようになっている,〜ようになっている,be arranged so that ~,được thiết lập sao cho ~,このドアは自動（じどう）で閉（し）まるようになっている。,phrase
〜うちに,〜うちに,while; during the time ~,trong khi còn ~,若（わか）いうちにたくさん挑戦（ちょうせん）したい。,phrase
〜際に,〜さいに,on the occasion of; when,vào lúc; khi,出発（しゅっぱつ）の際（さい）にパスポートを忘（わす）れないでください。,phrase
〜にあたって,〜にあたって,at the time of; on the occasion of,nhân dịp; vào lúc,入社（にゅうしゃ）にあたって、必要（ひつよう）な書類（しょるい）を準備（じゅんび）してください。,phrase
〜において,〜において,in; at; on (formal),tại; trong (trang trọng),会議（かいぎ）は東京（とうきょう）において行（おこな）われる。,phrase
〜を契機に,〜をけいきに,as an opportunity to ~,nhân cơ hội ~,結婚（けっこん）を契機（けいき）に転職（てんしょく）した。,phrase
〜に先立って,〜にさきだって,prior to; before,trước khi ~,開会（かいかい）に先立（さきだ）って、挨拶（あいさつ）があります。,phrase
〜にわたって,〜にわたって,throughout; over a span of,trải suốt; kéo dài,5日間（いつかかん）にわたって試験（しけん）が行（おこな）われた。,phrase
〜を問わず,〜をとわず,regardless of,bất kể; không phân biệt,国籍（こくせき）を問（と）わず応募（おうぼ）できます。,phrase
〜に応じて,〜におうじて,according to; in response to,tùy theo; ứng với,状況（じょうきょう）に応（おう）じて対応（たいおう）する。,phrase
〜に沿って,〜にそって,along with; in line with,theo sát; dựa theo,マニュアルに沿（そ）って操作（そうさ）してください。,phrase
〜にしても〜にしても,〜にしても〜にしても,whether A or B,dù là A hay B,行（い）くにしても行（い）かないにしても、連絡（れんらく）してください。,phrase
〜ものの,〜ものの,although; but,tuy ~ nhưng,合格（ごうかく）したものの、不安（ふあん）が残（のこ）る。,phrase
〜わけではない,〜わけではない,it doesn’t mean that ~,không có nghĩa là ~,嫌（きら）いなわけではないが、食（た）べたくない。,phrase
〜とは限らない,〜とはかぎらない,not necessarily ~,không hẳn là ~,高（たか）いものが必（かなら）ずしも良（よ）いとは限（かぎ）らない。,phrase
〜というより,〜というより,rather than ~,nói đúng hơn là ~,彼（かれ）は学生（がくせい）というより先生（せんせい）みたいだ。,phrase
〜上で,〜うえで,after; upon,sau khi ~,十分（じゅうぶん）に検討（けんとう）した上（うえ）で決定（けってい）します。,phrase
〜次第で,〜しだいで,depending on ~,tùy vào ~,成功（せいこう）は努力（どりょく）次第（しだい）だ。,phrase
〜限り,〜かぎり,as long as; to the extent that,chừng nào còn ~; trong phạm vi ~,私（わたし）が知（し）る限（かぎ）り、彼（かれ）は無実（むじつ）だ。,phrase
〜に限って,〜にかぎって,especially when; particularly ~,đúng lúc ~ thì lại ~,急（いそ）いでいる時（とき）に限（かぎ）って渋滞（じゅうたい）する。,phrase
〜にしては,〜にしては,considering; for ~,dù là ~ mà lại ~,初（はじ）めてにしては上手（じょうず）ですね。,phrase
〜たとたんに,〜たとたんに,just as; the moment ~,ngay khi ~,家（いえ）を出（で）たとたんに雨（あめ）が降（ふ）り出（だ）した。,phrase
〜かのように,〜かのように,as if ~,như thể là ~,彼（かれ）は何（なに）も知（し）らないかのようにふるまった。,phrase
〜ずにすむ,〜ずにすむ,get by without ~,không cần phải ~ cũng được,謝（あやま）らずにすんでよかった。,phrase
〜ばかりに,〜ばかりに,just because ~ (bad result),chỉ vì ~ (mà kết quả xấu),嘘（うそ）をついたばかりに、信用（しんよう）を失（うしな）った。,phrase
